業種,顧客名,URL
福祉施設,合同会社Monstera,monstera-aloha.com
サービス,株式会社保険サービス,hokenservice.co.jp
卸売,株式会社大翔,daisho-oki.com
組合・団体,公益社団法人沖縄県シルバー人材センター連合,okinawa-sjc.com
サービス,Island Journey Guam Co.,island-journey-guam.com
自動車,株式会社 久保田安全ガラス,kubotagarasu.okinawa
自動車,有限会社ヒサシ自動車,hisashi-g.jp
不動産,株式会社Ｈ＆Ａトラスト,ha-t.biz
卸売,株式会社ミリオン,million-okinawa.jp
冠婚葬祭（式場）,山瀬観光有限会社,yamasekanko.net
サービス,琉球トータルクリーン,r-totalclean.com
整体・整骨・接骨,フットプロ,footpro-okinawa.com
士業,iKUMO会計事務所,ikumotax.jp
美容,犬の美容室ファースト,inunobiyoushitsu-first.jp
飲食,株式会社コミュニティフーズ,koh-ran.com
小売店舗,そして。ニシナ屋,sosite2478.com
小売店舗,株式会社渡久地ファスナー,toguchi-f.com
保育園・幼稚園,社会福祉法人 光和福祉会 新島こども園,mi-jimahoikuen.com
建築・建設・工事,有限会社デンセンドウ,densendou.jp
福祉施設,株式会社マルミツ土地,sakurasia-fukushima.com
サービス,株式会社 エブリー企画(トリップレンタカー繫体字サイト),trip-rentacar.net
建築・建設・工事,比嘉工業 株式会社,higa-kogyo.okinawa
,祭り用品きぬや,kinuya-youkoso.com
サービス,株式会社スクーデリア沖縄,okinawa-scuderia.jp
建築・建設・工事,株式会社 きゃん電研,kyan-denken.net
飲食,有限会社Blue Ribbon 沖縄,pizza-in.com
医院,渡口矯正歯科医院,toguchi-ortho.jp
飲食,ラーメン工場無双,ramen-musou.jp
サービス,株式会社ドローンムーブ,drone-move.com
保育園・幼稚園,社会福祉法人みのり福祉会　百合が丘保育園,yurigaoka-hoikuen.com
医院,医療法人木蓮の会　ぐしかわ皮膚科,gushikawa-hihuka.com
飲食,株式会社GO-TAs（海鮮丼専門店五星）,5sei.com
宿泊施設,株式会社セリアコーポレーション沖縄,skyliving-hotel.ryukyu
不動産,株式会社琉行,ryu-kou.jp
組合・団体,那覇市職員労働組合,nahashi-shokuro.com
